company,title,title_en,job_category,seniority,remote_type,locations,years_experience_required,salary_hkd_min,salary_hkd_max,salary_estimated_min,salary_estimated_max,salary_estimated_confidence,required_skills,description_summary,source,source_tier,cross_posted,posted_at,apply_url,is_active
ABCI CAPITAL LIMITED,Experiences Sales of Institutional Department (機構及公司銷售部),Institutional Sales,Sales,mid,on-site,Hong Kong,,,,21000,35000,low,Institutional Sales; Client Relationship Management; Financial Markets Knowledge; Product Knowledge; Negotiation,,longtail,boutique,0,,https://www.abci.com.hk/#/hire,1
ABCI CAPITAL LIMITED,Graduate Recruitment (畢業生招聘),Graduate Recruitment,Other,junior,on-site,Hong Kong,0,,,,,,,,longtail,boutique,0,,https://www.abci.com.hk/#/hire,1
ABCI CAPITAL LIMITED,SVP of Sales Department (營業部),SVP of Sales Department,Sales,senior,on-site,Hong Kong,,,,46550,56000,medium,Sales Management; Client Relationship Management; Team Leadership; Financial Products Knowledge; Business Development,,longtail,boutique,0,,https://www.abci.com.hk/#/hire,1
ABCI CAPITAL LIMITED,Sales Trader of Institutional Department (機構及公司銷售部),Sales Trader of Institutional Department,Sales,mid,on-site,Hong Kong,,,,40250,52500,medium,Sales Trading; Equities; Trade Execution; Client Relationship Management; Market Analysis,,longtail,boutique,0,,https://www.abci.com.hk/#/hire,1
ABCI CAPITAL LIMITED,VP of Credit Department (信貸部),VP of Credit Department,Finance,senior,on-site,Hong Kong,,,,52500,59500,medium,Credit Analysis; Risk Management; Loan Underwriting; Team Management; Portfolio Management,,longtail,boutique,0,,https://www.abci.com.hk/#/hire,1
AIA,2026 Business Consultant (IANG/TTPS/QMAS Welcomed),2026 Business Consultant (IANG/TTPS/QMAS Welcomed),Finance,junior,hybrid,Hong Kong SAR,,,,16500,20000,medium,wealth management; financial planning; risk management; investment advisory; retirement planning; client relationship management; portfolio analysis; market trend analysis; financial data analysis; team leadership,"AIA Hong Kong's CHALLENGE Family seeks a full-time Business Consultant Trainee to provide wealth management and financial planning to individual and corporate clients. The role includes a structured fast-track career program, flexible working, and commission-based compensation. Responsibilities include client relationship management, portfolio analysis, and continuous professional development.",linkedin,mainstream,0,2026-07-24T00:00:00+00:00,https://hk.linkedin.com/jobs/view/2026-business-consultant-iang-ttps-qmas-welcomed-at-aia-4444065594,1
AIA,"Actuarial Associate/ Senior Actuarial Associate, Regulatory and Solvency Reporting","Actuarial Associate/ Senior Actuarial Associate, Regulatory and Solvency Reporting",Finance,senior,on-site,"Hong Kong, Hong Kong SAR",,,,45000,58000,medium,LCSM reporting; Solvency analysis; HKRBC; Bermuda solvency; Regulatory reporting; Actuarial modeling; System implementation; Consolidation tools; Budget planning; ORSA,"Support LCSM reporting and solvency analysis for AIA. Lead system implementation for reporting basis, prepare solvency board papers, and perform 3-year projections. Assist with HKRBC and Bermuda solvency production and year-end filing.",linkedin,mainstream,0,2026-07-20T00:00:00+00:00,https://hk.linkedin.com/jobs/view/actuarial-associate-senior-actuarial-associate-regulatory-and-solvency-reporting-at-aia-4442553947,1
AIA,"Associate Director, Agency Distribution Learning & Development","Associate Director, Agency Distribution Learning & Development",HR,senior,on-site,"Hong Kong, Hong Kong SAR",,,,70000,80000,medium,Learning & Development Strategy; Training Programme Design; Stakeholder Management; Agency Distribution; Capability Building; Instructional Design; Partnership Development; Performance Measurement; Project Management,"This role involves developing the Group Distribution Learning & Development strategy for agency distribution, collaborating with country heads, and creating bespoke training programmes to enhance advisor and leader capabilities.",linkedin,mainstream,0,2026-07-24T00:00:00+00:00,https://hk.linkedin.com/jobs/view/associate-director-agency-distribution-learning-development-at-aia-4444794338,1
AIA,"Associate Director, Change Management","Associate Director, Change Management",Operations,lead,on-site,"Hong Kong, Hong Kong SAR",,,,39000,95000,medium,change management strategy; stakeholder analysis; impact assessment; readiness analysis; change governance; adoption KPI monitoring; communication planning; training and enablement; resistance management; AI adoption embedding,"This role drives the human side of enterprise-wide Future of Work Transformation Program, ensuring AI adoption is embedded in the workforce. The change management lead designs strategies, manages stakeholder engagement, communication, training, and adoption KPIs across the organization.",linkedin,mainstream,1,2026-06-29T00:00:00+00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Group-Office/Associate-Director--Change-Management_JR-67650-1,1
AIA,"Associate Director, Distribution Digital","Associate Director, Distribution Digital",Operations,lead,on-site,"Hong Kong, Hong Kong SAR",,,,95000,130000,medium,Digital strategy; Platform governance; AI capabilities; Data analytics; Performance tracking; Cross-functional collaboration; Technology roadmaps; Insurance distribution; Strategic planning,"Leads digital strategy for AIA's distribution platforms across agency, bancassurance, and corporate solutions. Governs platform standards and roadmap alignment with business units. Uses performance insights to drive improvements and best practices.",linkedin,mainstream,1,2026-07-16T00:00:00+00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Group-Office/Associate-Director--Digital-Agency-Platforms_JR-68436-1,1
